cv_score,github_score,final_score,confidence,matched_req,missing_req,red_flags,evidence_count,has_github,validated_skills,recommendation
45,35,42,93,4,3,1,2,1,5,RESPINGE
5,0,5,66,4,8,2,1,0,2,RESPINGE
52,0,52,75,5,2,1,5,0,3,REVIZUIRE
21,0,21,67,3,4,4,2,0,2,RESPINGE
29,0,29,67,3,4,6,2,0,2,RESPINGE
88,0,88,79,7,0,2,6,0,7,INVITA
97,0,97,82,10,3,2,7,0,5,INVITA
17,29,21,75,0,8,3,1,1,0,RESPINGE
90,75,86,95,9,2,0,6,1,3,INVITA
36,29,34,90,2,5,5,3,1,2,RESPINGE
35,0,35,70,4,7,6,3,0,1,RESPINGE
86,98,90,95,6,0,0,10,1,5,INVITA
24,0,24,63,3,8,4,0,0,2,RESPINGE
62,40,55,95,8,4,0,4,1,4,REVIZUIRE
98,95,97,95,14,1,2,5,1,7,INVITA
23,20,22,86,4,10,6,0,1,2,RESPINGE
23,5,18,86,2,5,2,1,1,2,RESPINGE
47,40,45,95,7,3,1,5,1,5,REVIZUIRE
83,97,87,95,14,1,2,7,1,9,INVITA
61,0,61,72,4,3,0,4,0,1,REVIZUIRE
14,0,14,60,0,5,2,0,0,1,RESPINGE
42,0,42,70,4,5,6,3,0,0,RESPINGE
76,0,76,82,12,2,1,8,0,10,INVITA
41,15,33,77,0,4,5,2,1,0,RESPINGE
49,0,49,69,5,5,1,2,0,4,REVIZUIRE
73,0,73,82,14,0,0,6,0,5,REVIZUIRE
72,0,72,67,3,3,3,2,0,4,REVIZUIRE
84,0,84,82,14,3,0,6,0,7,INVITA
34,0,34,68,2,4,2,3,0,2,RESPINGE
46,45,46,89,3,3,0,6,1,1,REVIZUIRE
88,0,88,80,15,0,2,5,0,9,INVITA
55,38,50,95,4,4,1,4,1,4,REVIZUIRE
20,34,24,73,0,4,5,0,1,0,RESPINGE
22,34,26,77,1,6,4,1,1,1,RESPINGE
70,46,63,89,3,6,2,2,1,2,REVIZUIRE
35,0,35,66,2,8,3,2,0,0,RESPINGE
86,57,77,95,6,0,2,8,1,7,INVITA
53,0,53,78,6,6,3,6,0,1,REVIZUIRE
92,82,89,95,14,0,1,9,1,5,INVITA
73,52,67,83,3,4,1,3,1,1,REVIZUIRE
83,56,75,95,8,1,0,6,1,9,INVITA
95,79,90,95,9,2,0,10,1,4,INVITA
77,0,77,82,13,2,1,6,0,6,INVITA
53,31,46,95,5,4,3,6,1,3,REVIZUIRE
75,77,76,95,10,0,0,9,1,9,INVITA
64,57,62,85,3,5,1,4,1,1,RESPINGE
68,50,63,91,4,4,3,2,1,3,REVIZUIRE
19,0,19,67,3,6,5,2,0,2,RESPINGE
57,30,49,95,4,6,2,5,1,5,REVIZUIRE
37,0,37,68,2,7,5,3,0,2,RESPINGE
73,51,66,95,8,3,0,4,1,5,REVIZUIRE
77,70,75,95,9,1,0,5,1,3,INVITA
69,0,69,76,6,6,1,5,0,4,REVIZUIRE
44,0,44,62,0,10,5,1,0,0,RESPINGE
59,0,59,70,4,2,3,3,0,4,REVIZUIRE
89,85,88,95,13,3,2,8,1,5,INVITA
96,83,92,95,14,3,2,6,1,7,INVITA
17,0,17,66,4,4,3,1,0,0,RESPINGE
13,0,13,69,3,6,6,3,0,1,RESPINGE
82,55,74,95,15,0,2,8,1,10,REVIZUIRE
24,14,21,79,3,8,6,1,1,1,RESPINGE
57,0,57,78,8,5,1,5,0,2,REVIZUIRE
74,0,74,77,7,2,0,5,0,2,REVIZUIRE
16,0,16,65,1,7,4,2,0,1,RESPINGE
83,0,83,79,7,3,0,10,0,3,INVITA
65,0,65,74,8,2,0,3,0,2,REVIZUIRE
52,0,52,78,8,2,1,5,0,3,REVIZUIRE
38,1,27,77,0,10,3,2,1,0,RESPINGE
74,36,63,95,6,3,0,6,1,2,REVIZUIRE
66,57,63,95,3,6,0,4,1,5,REVIZUIRE
41,0,41,63,3,10,5,0,0,1,RESPINGE
71,0,71,76,4,5,1,6,0,3,REVIZUIRE
94,72,87,95,12,2,1,6,1,4,INVITA
